epoch,total,anomaly,attribution,telegrapher,euler_bernoulli,causality,auroc,f1
1,7.225442,6.188579,1.036863,0.0,0.0,0.0,0.495635,0.22973
2,6.671022,5.775331,0.895691,0.0,0.0,0.0,0.496847,0.22973
3,6.662007,5.768315,0.893693,0.0,0.0,0.0,0.498839,0.22973
4,6.661885,5.768212,0.893672,0.0,0.0,0.0,0.498243,0.22973
5,6.661878,5.768209,0.893669,0.0,0.0,0.0,0.498328,0.22973
6,6.661881,5.768209,0.893673,0.0,0.0,0.0,0.499542,0.22973
7,6.661878,5.768209,0.893669,0.0,0.0,0.0,0.500607,0.22973
8,6.661901,5.768232,0.893669,0.0,0.0,0.0,0.500379,0.22973
9,6.661879,5.76821,0.893669,0.0,0.0,0.0,0.500379,0.22973
10,6.661883,5.768214,0.893669,0.0,0.0,0.0,0.500379,0.22973
11,6.666963,5.773206,0.893757,0.0,0.0,0.0,0.500149,0.22973
12,6.661878,5.768209,0.893669,0.0,0.0,0.0,0.50015,0.22973
13,6.661878,5.768209,0.893669,0.0,0.0,0.0,0.50145,0.22973
14,6.661878,5.768209,0.893669,0.0,0.0,0.0,0.50145,0.22973
15,6.661877,5.768209,0.893669,0.0,0.0,0.0,0.50015,0.22973
16,6.662002,5.768099,0.893903,0.0,0.0,0.0,0.50015,0.22973
17,6.66189,5.768221,0.893669,0.0,0.0,0.0,0.50015,0.22973
18,6.661881,5.768208,0.893673,0.0,0.0,0.0,0.50015,0.22973
19,6.661878,5.768209,0.893669,0.0,0.0,0.0,0.50015,0.22973
20,6.661885,5.768207,0.893678,0.0,0.0,0.0,0.50015,0.22973
