epoch,total,anomaly,attribution,telegrapher,euler_bernoulli,causality,auroc,f1
1,14.336788,13.19312,1.143668,0.0,0.0,0.0,0.49375,0.1875
2,14.336802,13.193134,1.143668,0.0,0.0,0.0,0.49375,0.1875
3,14.336788,13.19312,1.143668,0.0,0.0,0.0,0.49375,0.1875
4,14.336884,13.193216,1.143668,0.0,0.0,0.0,0.49375,0.1875
5,14.336788,13.19312,1.143668,0.0,0.0,0.0,0.49375,0.1875
6,14.336789,13.193121,1.143668,0.0,0.0,0.0,0.49375,0.1875
7,14.336788,13.19312,1.143668,0.0,0.0,0.0,0.49375,0.1875
8,14.336789,13.193121,1.143668,0.0,0.0,0.0,0.49375,0.1875
9,14.336788,13.19312,1.143668,0.0,0.0,0.0,0.49375,0.1875
10,14.336798,13.19313,1.143668,0.0,0.0,0.0,0.49375,0.1875
